sensor_id,timestamp,latitude,longitude,sensor_type,reading_value,status,geometry,zone
1656,2023-01-01 01:17:00,37.998399496189,-121.60357036266636,seismic,23.925080740625184,faulty,POINT (-121.60357036266636 37.998399496189),Zone C
1091,2023-01-01 01:22:00,37.88506211167592,-121.67597455317096,temp,11.005402639274376,faulty,POINT (-121.67597455317096 37.88506211167592),Zone C
1775,2023-01-01 01:28:00,37.84566662400013,-122.11260660585728,seismic,40.06458746029369,inactive,POINT (-122.11260660585728 37.84566662400013),Zone C
1004,2023-01-01 01:35:00,37.80580733443665,-121.66322088845968,flood,86.36941044172228,active,POINT (-121.66322088845968 37.80580733443665),Zone C
1379,2023-01-01 01:48:00,37.17649185447223,-121.81092360243068,temp,14.465997593150917,faulty,POINT (-121.81092360243068 37.17649185447223),Zone C
1816,2023-01-01 01:53:00,37.97124356315357,-122.00384623580275,flood,61.316915970440654,faulty,POINT (-122.00384623580275 37.97124356315357),Zone C
1163,2023-01-01 01:55:00,37.99093588502967,-122.24345331036947,humidity,83.9091684237937,inactive,POINT (-122.24345331036947 37.99093588502967),Zone C
1326,2023-01-01 01:57:00,37.45119991435255,-121.67625175234424,humidity,23.738782947615388,faulty,POINT (-121.67625175234424 37.45119991435255),Zone C
1695,2023-01-01 02:03:00,37.90955811702504,-121.8904853048595,temp,55.56425270843047,faulty,POINT (-121.8904853048595 37.90955811702504),Zone C
1834,2023-01-01 02:05:00,37.39434831896007,-122.42631988383472,temp,26.36358176898583,active,POINT (-122.42631988383472 37.39434831896007),Zone C
1985,2023-01-01 02:09:00,37.50807756352896,-121.98035423603606,flood,54.0666796546633,active,POINT (-121.98035423603606 37.50807756352896),Zone C
1777,2023-01-01 02:11:00,37.772339058325535,-121.7798209638219,flood,52.87243490586408,active,POINT (-121.7798209638219 37.772339058325535),Zone C
1740,2023-01-01 02:15:00,37.04417955497495,-121.78251730589037,temp,87.3987693680203,active,POINT (-121.78251730589037 37.04417955497495),Zone C
1125,2023-01-01 02:18:00,37.18465654162591,-122.17116385771102,flood,98.63714289640636,active,POINT (-122.17116385771102 37.18465654162591),Zone C
1474,2023-01-01 02:20:00,37.73704919027721,-121.698589212067,flood,48.42292744339433,active,POINT (-121.698589212067 37.73704919027721),Zone C
1267,2023-01-01 02:23:00,37.28401303295963,-121.98159763847298,flood,5.557609482341197,inactive,POINT (-121.98159763847298 37.28401303295963),Zone C
1054,2023-01-01 02:25:00,37.2980942467482,-121.91663817879022,flood,49.64080714139024,faulty,POINT (-121.91663817879022 37.2980942467482),Zone C
1007,2023-01-01 02:27:00,37.790150674597534,-121.88675915039047,temp,24.92838839241074,inactive,POINT (-121.88675915039047 37.790150674597534),Zone C
1091,2023-01-01 02:43:00,37.21271867628815,-121.95160243984844,temp,87.22176240167285,inactive,POINT (-121.95160243984844 37.21271867628815),Zone C
1157,2023-01-01 02:44:00,37.6724163593186,-121.7835664670174,flood,67.6044795087914,inactive,POINT (-121.7835664670174 37.6724163593186),Zone C
1622,2023-01-01 02:45:00,37.2784206362616,-121.9217724671236,humidity,83.64032257701908,faulty,POINT (-121.9217724671236 37.2784206362616),Zone C
1179,2023-01-01 02:48:00,37.81031070486042,-122.46794669696487,flood,51.88171614854211,inactive,POINT (-122.46794669696487 37.81031070486042),Zone C
1470,2023-01-01 02:49:00,37.59116550580466,-121.69328202603822,humidity,27.99699904884877,active,POINT (-121.69328202603822 37.59116550580466),Zone C
1514,2023-01-01 02:51:00,37.42932214876105,-122.11666923187592,seismic,58.6734068225522,faulty,POINT (-122.11666923187592 37.42932214876105),Zone C
1166,2023-01-01 02:53:00,37.05959703368647,-121.92893585414774,temp,28.64108184401372,active,POINT (-121.92893585414774 37.05959703368647),Zone C
1997,2023-01-01 02:54:00,37.4366412067861,-121.6754906953702,flood,76.56456776422323,inactive,POINT (-121.6754906953702 37.4366412067861),Zone C
1811,2023-01-01 02:57:00,37.55943077924309,-122.2551960948746,seismic,70.43291774467184,active,POINT (-122.2551960948746 37.55943077924309),Zone C
1616,2023-01-01 03:01:00,37.92601956995735,-121.58431926479518,seismic,85.47856771982923,faulty,POINT (-121.58431926479518 37.92601956995735),Zone C
1005,2023-01-01 03:04:00,37.03967094999256,-122.00274613993624,flood,63.45588235709718,inactive,POINT (-122.00274613993624 37.03967094999256),Zone C
1464,2023-01-01 03:05:00,37.67178060016267,-121.82336962028944,humidity,30.774030327932955,faulty,POINT (-121.82336962028944 37.67178060016267),Zone C
1052,2023-01-01 03:07:00,37.45811845886696,-122.19848261211972,flood,14.634530288687674,active,POINT (-122.19848261211972 37.45811845886696),Zone C
1404,2023-01-01 03:08:00,37.653439495311886,-122.20409810560842,seismic,82.8660215331654,faulty,POINT (-122.20409810560842 37.653439495311886),Zone C
1977,2023-01-01 03:10:00,37.733701834369846,-121.50998766146937,flood,12.068278501362627,faulty,POINT (-121.50998766146937 37.733701834369846),Zone C
1224,2023-01-01 03:22:00,37.87458566231759,-121.66964459117884,flood,16.55920867172278,inactive,POINT (-121.66964459117884 37.87458566231759),Zone C
1750,2023-01-01 03:23:00,37.70429478341639,-121.89574353877356,flood,20.504605214249427,active,POINT (-121.89574353877356 37.70429478341639),Zone C
1358,2023-01-01 03:26:00,37.043841833621485,-121.64951258987983,temp,4.775481593854236,inactive,POINT (-121.64951258987983 37.043841833621485),Zone C
1923,2023-01-01 03:27:00,37.50593801923223,-122.08264447665525,seismic,78.42035428900623,faulty,POINT (-122.08264447665525 37.50593801923223),Zone C
1651,2023-01-01 03:33:00,37.2700098511004,-122.18134603400398,flood,97.04078602773968,faulty,POINT (-122.18134603400398 37.2700098511004),Zone C
1695,2023-01-01 03:34:00,37.55628933321921,-122.36961251366384,humidity,38.59478436559151,faulty,POINT (-122.36961251366384 37.55628933321921),Zone C
1862,2023-01-01 03:35:00,37.44328642809794,-121.89822430315616,temp,97.7718412663445,inactive,POINT (-121.89822430315616 37.44328642809794),Zone C
1284,2023-01-01 03:42:00,37.65915215365707,-122.02530298557852,seismic,18.923524126790014,active,POINT (-122.02530298557852 37.65915215365707),Zone C
1173,2023-01-01 03:45:00,37.45073932383964,-122.29732045372636,seismic,36.91217434391599,inactive,POINT (-122.29732045372636 37.45073932383964),Zone C
1197,2023-01-01 03:48:00,37.8012736407828,-121.51689678411056,flood,46.61647392510744,inactive,POINT (-121.51689678411056 37.8012736407828),Zone C
1912,2023-01-01 03:49:00,37.61718086450016,-121.50165654116154,flood,22.762629054746075,active,POINT (-121.50165654116154 37.61718086450016),Zone C
1696,2023-01-01 03:53:00,37.7601320303496,-121.83659268787672,humidity,17.03080925603704,faulty,POINT (-121.83659268787672 37.7601320303496),Zone C
1077,2023-01-01 03:57:00,37.21143978508936,-122.28557173523886,flood,86.17057091879776,inactive,POINT (-122.28557173523886 37.21143978508936),Zone C
1173,2023-01-01 04:03:00,37.17666110070799,-121.9079330301284,temp,45.91799175700724,faulty,POINT (-121.9079330301284 37.17666110070799),Zone C
1200,2023-01-01 04:07:00,37.404264897236224,-122.13131159773803,seismic,38.86819324702861,inactive,POINT (-122.13131159773803 37.404264897236224),Zone C
1476,2023-01-01 04:09:00,37.54808619147392,-121.87135190602451,flood,82.67378917617961,inactive,POINT (-121.87135190602451 37.54808619147392),Zone C
1085,2023-01-01 04:11:00,37.336901881963584,-122.47788590104732,humidity,10.203301681375743,faulty,POINT (-122.47788590104732 37.336901881963584),Zone C
1961,2023-01-01 04:16:00,37.68031096431454,-122.40766158825852,temp,64.84973814635191,active,POINT (-122.40766158825852 37.68031096431454),Zone C
1704,2023-01-01 04:18:00,37.39232469286611,-122.220562085062,temp,94.62373097062758,active,POINT (-122.220562085062 37.39232469286611),Zone C
1712,2023-01-01 04:20:00,37.291371598301566,-121.95407469270408,temp,63.76532086719367,inactive,POINT (-121.95407469270408 37.291371598301566),Zone C
1296,2023-01-01 04:22:00,37.80103996291118,-121.72160245899342,seismic,63.07222613144351,active,POINT (-121.72160245899342 37.80103996291118),Zone C
1337,2023-01-01 04:25:00,37.61534439794934,-121.5059879729022,flood,76.82952670075501,faulty,POINT (-121.5059879729022 37.61534439794934),Zone C
1742,2023-01-01 04:27:00,37.94634642289222,-122.36487671401602,flood,45.99937591596088,active,POINT (-122.36487671401602 37.94634642289222),Zone C
1123,2023-01-01 04:29:00,37.95200014794231,-122.16416024099377,temp,50.82524154673833,active,POINT (-122.16416024099377 37.95200014794231),Zone C
1501,2023-01-01 04:30:00,37.90167328468908,-122.13525895401791,flood,54.9433014682607,faulty,POINT (-122.13525895401791 37.90167328468908),Zone C
1745,2023-01-01 04:31:00,37.55285592239692,-121.65579413199372,humidity,44.98218255638346,inactive,POINT (-121.65579413199372 37.55285592239692),Zone C
1747,2023-01-01 04:38:00,37.90136374536622,-122.37097594040132,seismic,77.19194659655699,active,POINT (-122.37097594040132 37.90136374536622),Zone C
1264,2023-01-01 04:40:00,37.71036368284543,-121.75522640078805,seismic,45.37360547020104,faulty,POINT (-121.75522640078805 37.71036368284543),Zone C
1875,2023-01-01 04:43:00,37.280528048476505,-122.43251054213424,seismic,13.48705361117274,inactive,POINT (-122.43251054213424 37.280528048476505),Zone C
1678,2023-01-01 04:49:00,37.291508861049,-121.79592019765803,humidity,32.77112277137281,inactive,POINT (-121.79592019765803 37.291508861049),Zone C
1051,2023-01-01 04:50:00,37.99205073878303,-122.00370830006096,humidity,28.893473624011246,inactive,POINT (-122.00370830006096 37.99205073878303),Zone C
1769,2023-01-01 04:55:00,37.77387579863596,-122.3917625921474,humidity,61.31220547506005,faulty,POINT (-122.3917625921474 37.77387579863596),Zone C
1798,2023-01-01 04:56:00,37.070933460883445,-121.99777650886396,seismic,48.99125965451664,active,POINT (-121.99777650886396 37.070933460883445),Zone C
1723,2023-01-01 05:02:00,37.84047391020373,-122.49676572581784,seismic,51.68440953293337,faulty,POINT (-122.49676572581784 37.84047391020373),Zone C
1635,2023-01-01 05:04:00,37.52467921998837,-121.73878779052664,flood,70.70263144659333,active,POINT (-121.73878779052664 37.52467921998837),Zone C
1525,2023-01-01 05:08:00,37.906350706413,-121.91899374527212,seismic,67.44472833899326,active,POINT (-121.91899374527212 37.906350706413),Zone C
1094,2023-01-01 05:12:00,37.14330363190255,-121.72344230007052,seismic,19.20689780095104,active,POINT (-121.72344230007052 37.14330363190255),Zone C
1768,2023-01-01 05:17:00,37.471464732068696,-122.29169772861438,seismic,67.82246357758531,faulty,POINT (-122.29169772861438 37.471464732068696),Zone C
1419,2023-01-01 05:20:00,37.33954915160177,-122.07756859336654,temp,91.12851621789164,active,POINT (-122.07756859336654 37.33954915160177),Zone C
1259,2023-01-01 05:34:00,37.53672952552366,-121.8561156362589,seismic,61.04576812354103,inactive,POINT (-121.8561156362589 37.53672952552366),Zone C
1858,2023-01-01 05:38:00,37.159008804424886,-121.69756963521212,temp,74.27902370122979,faulty,POINT (-121.69756963521212 37.159008804424886),Zone C
1580,2023-01-01 05:45:00,37.7482358814186,-121.51310021668507,humidity,84.7141588185769,inactive,POINT (-121.51310021668507 37.7482358814186),Zone C
1823,2023-01-01 05:48:00,37.04514445812728,-121.9238636571463,seismic,21.48127873688713,faulty,POINT (-121.9238636571463 37.04514445812728),Zone C
1550,2023-01-01 05:49:00,37.57889895840616,-122.1005324679116,seismic,56.04686536896991,active,POINT (-122.1005324679116 37.57889895840616),Zone C
1745,2023-01-01 05:51:00,37.10318639118727,-121.85467025341458,flood,35.60865625425074,faulty,POINT (-121.85467025341458 37.10318639118727),Zone C
1575,2023-01-01 06:01:00,37.87871313639826,-122.40271620807306,flood,9.0650282623172,faulty,POINT (-122.40271620807306 37.87871313639826),Zone C
1261,2023-01-01 06:06:00,37.22865115839871,-122.32373293649428,humidity,86.27929898510946,active,POINT (-122.32373293649428 37.22865115839871),Zone C
1975,2023-01-01 06:11:00,37.16427418265731,-121.943699151378,temp,37.63228111447273,faulty,POINT (-121.943699151378 37.16427418265731),Zone C
1107,2023-01-01 06:12:00,37.14276711796825,-121.76521199705304,humidity,98.864999029459,faulty,POINT (-121.76521199705304 37.14276711796825),Zone C
1439,2023-01-01 06:14:00,37.08912714215537,-122.34202438161792,flood,60.57527161296332,active,POINT (-122.34202438161792 37.08912714215537),Zone C
1926,2023-01-01 06:16:00,37.13248346689652,-122.24325868241594,temp,49.90205983325079,active,POINT (-122.24325868241594 37.13248346689652),Zone C
1230,2023-01-01 06:18:00,37.16080630704631,-121.67426014232636,seismic,53.50693960251598,inactive,POINT (-121.67426014232636 37.16080630704631),Zone C
1862,2023-01-01 06:21:00,37.67776078512584,-122.09188200294383,temp,65.4530691413899,faulty,POINT (-122.09188200294383 37.67776078512584),Zone C
1410,2023-01-01 06:22:00,37.83162213605181,-122.40857807185684,seismic,85.29009658407264,active,POINT (-122.40857807185684 37.83162213605181),Zone C
1976,2023-01-01 06:23:00,37.543725926241066,-122.02733057010516,flood,91.82631129135189,faulty,POINT (-122.02733057010516 37.543725926241066),Zone C
1724,2023-01-01 06:28:00,37.708818701732525,-122.43640402134912,humidity,36.56422254005947,faulty,POINT (-122.43640402134912 37.708818701732525),Zone C
1623,2023-01-01 06:35:00,37.831664251146925,-121.90416512894458,temp,42.87812452891357,faulty,POINT (-121.90416512894458 37.831664251146925),Zone C
1582,2023-01-01 06:39:00,37.66920359222579,-122.06253601070264,seismic,75.6021671538668,faulty,POINT (-122.06253601070264 37.66920359222579),Zone C
1709,2023-01-01 06:42:00,37.05204531457271,-121.7532478005132,flood,33.42705970431028,faulty,POINT (-121.7532478005132 37.05204531457271),Zone C
1652,2023-01-01 06:43:00,37.59080398257474,-122.10151740034648,flood,28.27852624734576,active,POINT (-122.10151740034648 37.59080398257474),Zone C
1724,2023-01-01 06:50:00,37.413067770862654,-122.30519526202288,humidity,97.6428821158712,active,POINT (-122.30519526202288 37.413067770862654),Zone C
1359,2023-01-01 06:52:00,37.38243967070832,-122.15223611890808,humidity,85.27326889669675,active,POINT (-122.15223611890808 37.38243967070832),Zone C
1826,2023-01-01 06:55:00,37.8122033535192,-122.12142847853704,humidity,21.832213211546225,inactive,POINT (-122.12142847853704 37.8122033535192),Zone C
1407,2023-01-01 06:59:00,37.051380867374654,-121.97643778508116,seismic,47.527690442453554,active,POINT (-121.97643778508116 37.051380867374654),Zone C
1835,2023-01-01 07:02:00,37.200458703093325,-122.02399799461324,flood,48.14689245725658,faulty,POINT (-122.02399799461324 37.200458703093325),Zone C
1538,2023-01-01 07:06:00,37.20758758906108,-122.1202224658708,flood,2.959440906997657,faulty,POINT (-122.1202224658708 37.20758758906108),Zone C
1971,2023-01-01 07:07:00,37.04538658209119,-122.13019306020256,humidity,25.205673663626683,active,POINT (-122.13019306020256 37.04538658209119),Zone C
1758,2023-01-01 07:18:00,37.604199162227616,-122.12359707063524,temp,80.28568348972684,inactive,POINT (-122.12359707063524 37.604199162227616),Zone C
1226,2023-01-01 07:23:00,37.36787423448795,-121.763285495462,flood,88.61226842408058,inactive,POINT (-121.763285495462 37.36787423448795),Zone C
1113,2023-01-01 07:29:00,37.03607063740725,-121.92408005422922,flood,21.47835316998721,active,POINT (-121.92408005422922 37.03607063740725),Zone C
1111,2023-01-01 07:37:00,37.05135852299883,-122.18505374860564,flood,93.46066681285828,faulty,POINT (-122.18505374860564 37.05135852299883),Zone C
1440,2023-01-01 07:39:00,37.45736600552218,-121.7013394502481,seismic,49.42108162321585,inactive,POINT (-121.7013394502481 37.45736600552218),Zone C
1873,2023-01-01 07:41:00,37.49894474402488,-122.1034045225934,flood,12.498024435163655,active,POINT (-122.1034045225934 37.49894474402488),Zone C
1803,2023-01-01 07:42:00,37.645364194880685,-122.09291823766078,seismic,27.33733684576466,active,POINT (-122.09291823766078 37.645364194880685),Zone C
1590,2023-01-01 07:51:00,37.7578727090886,-121.87468353629178,flood,42.78925665468121,inactive,POINT (-121.87468353629178 37.7578727090886),Zone C
1340,2023-01-01 07:52:00,37.05123081410797,-122.20353840687292,temp,95.62944449510633,inactive,POINT (-122.20353840687292 37.05123081410797),Zone C
1541,2023-01-01 07:55:00,37.00744995324311,-122.00063936385448,temp,8.613238189970529,inactive,POINT (-122.00063936385448 37.00744995324311),Zone C
1943,2023-01-01 07:56:00,37.51105540222855,-122.04541249372257,flood,92.2826759282072,faulty,POINT (-122.04541249372257 37.51105540222855),Zone C
1703,2023-01-01 07:57:00,37.80776958890022,-122.23152490566927,humidity,0.0642215143060065,active,POINT (-122.23152490566927 37.80776958890022),Zone C
1445,2023-01-01 07:58:00,37.4259640328039,-122.26962928242024,humidity,64.90890098544403,active,POINT (-122.26962928242024 37.4259640328039),Zone C
1614,2023-01-01 08:09:00,37.94327120834707,-122.1520502525327,seismic,64.13377225568165,active,POINT (-122.1520502525327 37.94327120834707),Zone C
1764,2023-01-01 08:12:00,37.95083272662416,-122.38947781609632,seismic,41.684964183184846,active,POINT (-122.38947781609632 37.95083272662416),Zone C
1219,2023-01-01 08:16:00,37.79531839515713,-122.4501623305209,humidity,93.74812720831976,active,POINT (-122.4501623305209 37.79531839515713),Zone C
1061,2023-01-01 08:21:00,37.081652647226434,-122.2293174873406,seismic,14.173643242608955,inactive,POINT (-122.2293174873406 37.081652647226434),Zone C
1902,2023-01-01 08:24:00,37.3503536793591,-121.9621106006102,seismic,15.984514451527652,active,POINT (-121.9621106006102 37.3503536793591),Zone C
1857,2023-01-01 08:28:00,37.29834803628229,-121.8997393475827,flood,15.690311828338288,active,POINT (-121.8997393475827 37.29834803628229),Zone C
1611,2023-01-01 08:30:00,37.568522747190016,-122.4178403278994,seismic,6.421647842174439,faulty,POINT (-122.4178403278994 37.568522747190016),Zone C
1816,2023-01-01 08:34:00,37.95433219117752,-121.68362391012778,flood,46.48626069413668,active,POINT (-121.68362391012778 37.95433219117752),Zone C
1086,2023-01-01 08:35:00,37.41976710451303,-121.53862257142669,seismic,5.576854763459716,active,POINT (-121.53862257142669 37.41976710451303),Zone C
1080,2023-01-01 08:37:00,37.38850597695415,-121.88406115636764,humidity,8.65063881745659,faulty,POINT (-121.88406115636764 37.38850597695415),Zone C
1026,2023-01-01 08:45:00,37.14955926761612,-122.30601202927382,flood,66.91224556932174,active,POINT (-122.30601202927382 37.14955926761612),Zone C
1162,2023-01-01 08:48:00,37.0303131921792,-121.98944422684195,humidity,48.50025271608618,inactive,POINT (-121.98944422684195 37.0303131921792),Zone C
1084,2023-01-01 08:49:00,37.28413999090046,-121.9168785491337,humidity,71.02856721883674,inactive,POINT (-121.9168785491337 37.28413999090046),Zone C
1673,2023-01-01 08:52:00,37.30749297824817,-121.60968223588635,temp,17.829596423720105,active,POINT (-121.60968223588635 37.30749297824817),Zone C
1341,2023-01-01 08:54:00,37.7140890363539,-121.74068549550262,temp,34.78882056105645,inactive,POINT (-121.74068549550262 37.7140890363539),Zone C
1129,2023-01-01 08:58:00,37.45956226289907,-121.86009393637444,flood,40.13659261590663,faulty,POINT (-121.86009393637444 37.45956226289907),Zone C
1481,2023-01-01 08:59:00,37.26861632816189,-121.71835524295784,temp,14.788854697989615,inactive,POINT (-121.71835524295784 37.26861632816189),Zone C
1356,2023-01-01 09:01:00,37.52905334201766,-121.66731426174869,flood,78.77755907476246,inactive,POINT (-121.66731426174869 37.52905334201766),Zone C
1340,2023-01-01 09:03:00,37.50836495800269,-122.1964753534528,humidity,87.31310605581801,faulty,POINT (-122.1964753534528 37.50836495800269),Zone C
1156,2023-01-01 09:05:00,37.57227191094636,-122.427618576813,flood,26.832571842466034,faulty,POINT (-122.427618576813 37.57227191094636),Zone C
1480,2023-01-01 09:14:00,37.00468734464333,-122.38940068735708,seismic,81.06812678300122,faulty,POINT (-122.38940068735708 37.00468734464333),Zone C
1463,2023-01-01 09:16:00,37.31068033204096,-121.9552150087768,temp,82.67577785274536,inactive,POINT (-121.9552150087768 37.31068033204096),Zone C
1376,2023-01-01 09:21:00,37.101518549882286,-121.54140517356548,humidity,70.12523348430172,active,POINT (-121.54140517356548 37.101518549882286),Zone C
1306,2023-01-01 09:27:00,37.71107086800234,-122.00611865565796,seismic,24.73571823655606,faulty,POINT (-122.00611865565796 37.71107086800234),Zone C
1199,2023-01-01 09:28:00,37.98268976158986,-121.99903841655836,flood,92.77305354587745,faulty,POINT (-121.99903841655836 37.98268976158986),Zone C
1536,2023-01-01 09:34:00,37.7275820524356,-121.58093518175824,temp,34.47923461415148,inactive,POINT (-121.58093518175824 37.7275820524356),Zone C
1736,2023-01-01 09:38:00,37.474724411751104,-122.32630552580969,humidity,5.128946127929169,faulty,POINT (-122.32630552580969 37.474724411751104),Zone C
1337,2023-01-01 09:40:00,37.85483563699584,-121.94868961483338,humidity,53.33010346020808,active,POINT (-121.94868961483338 37.85483563699584),Zone C
1085,2023-01-01 09:42:00,37.18629709939784,-121.81236789645791,temp,48.58236306478544,faulty,POINT (-121.81236789645791 37.18629709939784),Zone C
1781,2023-01-01 09:49:00,37.89147295370683,-121.56442337899068,flood,85.74551149572245,inactive,POINT (-121.56442337899068 37.89147295370683),Zone C
1871,2023-01-01 09:50:00,37.47024188883246,-121.79309707327587,seismic,93.79461774567685,active,POINT (-121.79309707327587 37.47024188883246),Zone C
1511,2023-01-01 10:14:00,37.6985507912786,-122.42082984349211,flood,26.96773064090912,inactive,POINT (-122.42082984349211 37.6985507912786),Zone C
1051,2023-01-01 10:21:00,37.47905383323558,-121.90039521899396,temp,95.40387398164896,faulty,POINT (-121.90039521899396 37.47905383323558),Zone C
1970,2023-01-01 10:22:00,37.86109320729865,-121.55571171426828,flood,77.71212242222812,active,POINT (-121.55571171426828 37.86109320729865),Zone C
1844,2023-01-01 10:25:00,37.65078269711884,-121.67224209099216,seismic,92.48432096406508,active,POINT (-121.67224209099216 37.65078269711884),Zone C
1779,2023-01-01 10:28:00,37.53575201319396,-121.97067984926328,humidity,47.26659736708068,inactive,POINT (-121.97067984926328 37.53575201319396),Zone C
1558,2023-01-01 10:33:00,37.7056929528508,-122.27923125687784,seismic,78.2307241006753,active,POINT (-122.27923125687784 37.7056929528508),Zone C
1532,2023-01-01 10:34:00,37.34512703730009,-122.0332298867824,flood,54.05992123544207,active,POINT (-122.0332298867824 37.34512703730009),Zone C
1017,2023-01-01 10:37:00,37.97979460010071,-121.65250270444278,flood,27.54177767184296,active,POINT (-121.65250270444278 37.97979460010071),Zone C
1196,2023-01-01 10:38:00,37.938045206950456,-122.34124277472552,temp,43.0662539128587,inactive,POINT (-122.34124277472552 37.938045206950456),Zone C
1671,2023-01-01 10:42:00,37.98374360880097,-122.1465715379482,flood,76.64400951463051,active,POINT (-122.1465715379482 37.98374360880097),Zone C
1513,2023-01-01 10:46:00,37.39303760149918,-122.19539540469256,humidity,2.9934631551021496,inactive,POINT (-122.19539540469256 37.39303760149918),Zone C
1892,2023-01-01 10:58:00,37.3135217412971,-122.33143747351548,temp,71.87884859303608,active,POINT (-122.33143747351548 37.3135217412971),Zone C
1541,2023-01-01 10:59:00,37.67993516232745,-122.29965761426324,temp,59.34979431134333,faulty,POINT (-122.29965761426324 37.67993516232745),Zone C
1028,2023-01-01 11:03:00,37.04164372403601,-121.8637777242936,seismic,22.269737114123235,active,POINT (-121.8637777242936 37.04164372403601),Zone C
1322,2023-01-01 11:11:00,37.1051220378862,-122.31910383245597,humidity,4.315484867573338,inactive,POINT (-122.31910383245597 37.1051220378862),Zone C
1112,2023-01-01 11:17:00,37.079973421605175,-122.10881300691146,flood,42.05418174820476,inactive,POINT (-122.10881300691146 37.079973421605175),Zone C
1852,2023-01-01 11:20:00,37.22085174828848,-122.09746625824484,seismic,89.51459754448372,inactive,POINT (-122.09746625824484 37.22085174828848),Zone C
1660,2023-01-01 11:25:00,37.25429710808365,-121.91105770567157,humidity,88.79925584959638,inactive,POINT (-121.91105770567157 37.25429710808365),Zone C
1926,2023-01-01 11:27:00,37.58922646863692,-121.68955806451946,flood,32.75286497617091,faulty,POINT (-121.68955806451946 37.58922646863692),Zone C
1298,2023-01-01 11:29:00,37.06894750234755,-121.57549900194071,flood,32.934719206098286,inactive,POINT (-121.57549900194071 37.06894750234755),Zone C
1634,2023-01-01 11:35:00,37.9876774105341,-121.50560693603587,temp,76.20595417828243,active,POINT (-121.50560693603587 37.9876774105341),Zone C
1025,2023-01-01 11:36:00,37.99171308418261,-121.74341796793456,flood,76.5052861442624,faulty,POINT (-121.74341796793456 37.99171308418261),Zone C
1802,2023-01-01 11:43:00,37.89533914133276,-122.23571518418962,seismic,25.009334498923643,active,POINT (-122.23571518418962 37.89533914133276),Zone C
1896,2023-01-01 11:46:00,37.99615443789899,-122.3956552085562,temp,20.676982458219584,active,POINT (-122.3956552085562 37.99615443789899),Zone C
1309,2023-01-01 11:48:00,37.45586915724332,-122.33577933841786,temp,48.85895991755479,active,POINT (-122.33577933841786 37.45586915724332),Zone C
1983,2023-01-01 11:50:00,37.021444583207625,-122.47934096344332,seismic,19.666747133019523,inactive,POINT (-122.47934096344332 37.021444583207625),Zone C
